Parcel,label,est.std,se,z,pvalue,ci.lower,ci.upper,label_Yeo_7,label_Yeo7_short
1,λ,0.655,0.031,21.054,0,0.594,0.715,7Networks_LH_Vis_1,Vis
1,σ1intra^2,0.572,0.041,14.045,0,0.492,0.651,7Networks_LH_Vis_1,Vis
1,σ2intra^2,0.567,0.041,13.75,0,0.486,0.648,7Networks_LH_Vis_1,Vis
1,σ_mig1,-0.022,0.059,-0.371,0.71,-0.137,0.093,7Networks_LH_Vis_1,Vis
1,σ_gdg1,0.248,0.056,4.399,0,0.138,0.359,7Networks_LH_Vis_1,Vis
1,σ_migd,-0.01,0.046,-0.219,0.826,-0.099,0.079,7Networks_LH_Vis_1,Vis
2,λ,0.718,0.026,27.497,0,0.667,0.769,7Networks_LH_Vis_2,Vis
2,σ1intra^2,0.484,0.038,12.902,0,0.411,0.558,7Networks_LH_Vis_2,Vis
2,σ2intra^2,0.48,0.038,12.648,0,0.405,0.554,7Networks_LH_Vis_2,Vis
2,σ_mig1,-0.081,0.055,-1.472,0.141,-0.188,0.027,7Networks_LH_Vis_2,Vis
2,σ_gdg1,0.575,0.042,13.84,0,0.494,0.657,7Networks_LH_Vis_2,Vis
2,σ_migd,0.05,0.045,1.111,0.266,-0.039,0.14,7Networks_LH_Vis_2,Vis
3,λ,0.687,0.029,23.658,0,0.63,0.744,7Networks_LH_Vis_3,Vis
3,σ1intra^2,0.528,0.04,13.257,0,0.45,0.607,7Networks_LH_Vis_3,Vis
3,σ2intra^2,0.527,0.04,13.142,0,0.448,0.605,7Networks_LH_Vis_3,Vis
3,σ_mig1,0.008,0.057,0.135,0.892,-0.104,0.119,7Networks_LH_Vis_3,Vis
3,σ_gdg1,-0.248,0.054,-4.558,0,-0.355,-0.141,7Networks_LH_Vis_3,Vis
3,σ_migd,-0.106,0.045,-2.343,0.019,-0.195,-0.017,7Networks_LH_Vis_3,Vis
4,λ,0.63,0.033,18.944,0,0.565,0.695,7Networks_LH_Vis_4,Vis
4,σ1intra^2,0.603,0.042,14.41,0,0.521,0.685,7Networks_LH_Vis_4,Vis
4,σ2intra^2,0.604,0.042,14.475,0,0.522,0.686,7Networks_LH_Vis_4,Vis
4,σ_mig1,0.051,0.06,0.837,0.403,-0.068,0.169,7Networks_LH_Vis_4,Vis
4,σ_gdg1,-0.067,0.06,-1.103,0.27,-0.185,0.052,7Networks_LH_Vis_4,Vis
4,σ_migd,0.093,0.045,2.06,0.039,0.005,0.182,7Networks_LH_Vis_4,Vis
5,λ,0.696,0.029,24.105,0,0.639,0.752,7Networks_LH_Vis_5,Vis
5,σ1intra^2,0.516,0.04,12.852,0,0.437,0.595,7Networks_LH_Vis_5,Vis
5,σ2intra^2,0.52,0.04,13.11,0,0.442,0.598,7Networks_LH_Vis_5,Vis
5,σ_mig1,0.045,0.056,0.795,0.427,-0.066,0.155,7Networks_LH_Vis_5,Vis
5,σ_gdg1,-0.096,0.056,-1.709,0.087,-0.207,0.014,7Networks_LH_Vis_5,Vis
5,σ_migd,-0.03,0.046,-0.662,0.508,-0.12,0.059,7Networks_LH_Vis_5,Vis
6,λ,0.728,0.027,27.432,0,0.676,0.78,7Networks_LH_Vis_6,Vis
6,σ1intra^2,0.471,0.039,12.19,0,0.395,0.546,7Networks_LH_Vis_6,Vis
6,σ2intra^2,0.471,0.039,12.194,0,0.395,0.546,7Networks_LH_Vis_6,Vis
6,σ_mig1,-0.05,0.055,-0.924,0.356,-0.158,0.057,7Networks_LH_Vis_6,Vis
6,σ_gdg1,0.1,0.054,1.842,0.065,-0.006,0.207,7Networks_LH_Vis_6,Vis
6,σ_migd,-0.074,0.045,-1.633,0.102,-0.163,0.015,7Networks_LH_Vis_6,Vis
7,λ,0.747,0.024,31.375,0,0.701,0.794,7Networks_LH_Vis_7,Vis
7,σ1intra^2,0.442,0.036,12.403,0,0.372,0.511,7Networks_LH_Vis_7,Vis
7,σ2intra^2,0.43,0.037,11.77,0,0.358,0.501,7Networks_LH_Vis_7,Vis
7,σ_mig1,-0.021,0.054,-0.387,0.698,-0.126,0.084,7Networks_LH_Vis_7,Vis
7,σ_gdg1,0.592,0.039,15.223,0,0.516,0.668,7Networks_LH_Vis_7,Vis
7,σ_migd,0.067,0.045,1.48,0.139,-0.022,0.156,7Networks_LH_Vis_7,Vis
8,λ,0.695,0.028,24.43,0,0.639,0.751,7Networks_LH_Vis_8,Vis
8,σ1intra^2,0.517,0.04,13.06,0,0.439,0.594,7Networks_LH_Vis_8,Vis
8,σ2intra^2,0.513,0.04,12.8,0,0.434,0.591,7Networks_LH_Vis_8,Vis
8,σ_mig1,-0.023,0.056,-0.417,0.677,-0.134,0.087,7Networks_LH_Vis_8,Vis
8,σ_gdg1,-0.098,0.056,-1.753,0.08,-0.208,0.012,7Networks_LH_Vis_8,Vis
8,σ_migd,-0.126,0.045,-2.803,0.005,-0.214,-0.038,7Networks_LH_Vis_8,Vis
9,λ,0.689,0.029,23.648,0,0.632,0.746,7Networks_LH_Vis_9,Vis
9,σ1intra^2,0.526,0.04,13.113,0,0.447,0.604,7Networks_LH_Vis_9,Vis
9,σ2intra^2,0.527,0.04,13.205,0,0.449,0.606,7Networks_LH_Vis_9,Vis
9,σ_mig1,-0.013,0.057,-0.225,0.822,-0.124,0.099,7Networks_LH_Vis_9,Vis
9,σ_gdg1,0.194,0.055,3.5,0,0.085,0.302,7Networks_LH_Vis_9,Vis
9,σ_migd,0.046,0.046,1.007,0.314,-0.043,0.135,7Networks_LH_Vis_9,Vis
10,λ,0.66,0.031,21.181,0,0.599,0.721,7Networks_LH_Vis_10,Vis
10,σ1intra^2,0.565,0.041,13.748,0,0.484,0.645,7Networks_LH_Vis_10,Vis
10,σ2intra^2,0.566,0.041,13.809,0,0.485,0.646,7Networks_LH_Vis_10,Vis
10,σ_mig1,0.014,0.059,0.234,0.815,-0.101,0.129,7Networks_LH_Vis_10,Vis
10,σ_gdg1,0.092,0.058,1.574,0.116,-0.023,0.206,7Networks_LH_Vis_10,Vis
10,σ_migd,0.05,0.046,1.087,0.277,-0.04,0.139,7Networks_LH_Vis_10,Vis
11,λ,0.661,0.031,21.338,0,0.601,0.722,7Networks_LH_Vis_11,Vis
11,σ1intra^2,0.563,0.041,13.728,0,0.482,0.643,7Networks_LH_Vis_11,Vis
11,σ2intra^2,0.563,0.041,13.755,0,0.483,0.643,7Networks_LH_Vis_11,Vis
11,σ_mig1,-0.02,0.058,-0.34,0.734,-0.134,0.095,7Networks_LH_Vis_11,Vis
