Parcel,label,exo,est,se,z,pvalue,ci.lower,ci.upper,cfi,rmsea,label_Yeo_7,label_Yeo7_short
1,mean_FCG11,0,-0.005,0.06,-0.076,0.939,-0.121,0.112,1,0,7Networks_LH_Vis_1,Vis
1,mean_FCG12,0,-0.005,0.059,-0.077,0.939,-0.12,0.111,1,0,7Networks_LH_Vis_1,Vis
1,mean_T1w/T2wmi,0,0.013,0.062,0.211,0.833,-0.108,0.134,1,0,7Networks_LH_Vis_1,Vis
1,GD,0,0.003,0.059,0.045,0.964,-0.112,0.118,1,0,7Networks_LH_Vis_1,Vis
1,λ,0,0.737,0.044,16.942,0,0.652,0.823,1,0,7Networks_LH_Vis_1,Vis
1,σ1intra^2,0,0.457,0.054,8.518,0,0.352,0.562,1,0,7Networks_LH_Vis_1,Vis
1,σ2intra^2,0,0.435,0.053,8.271,0,0.332,0.538,1,0,7Networks_LH_Vis_1,Vis
1,σAinter^2,0,0.642,0.108,5.918,0,0.429,0.854,1,0,7Networks_LH_Vis_1,Vis
1,σAmi^2,0,0.513,0.095,5.413,0,0.327,0.699,1,0,7Networks_LH_Vis_1,Vis
1,σAGD^2,0,0.285,0.097,2.947,0.003,0.096,0.475,1,0,7Networks_LH_Vis_1,Vis
1,σEinter^2,0,0.358,0.108,3.304,0.001,0.146,0.571,1,0,7Networks_LH_Vis_1,Vis
1,σEmi^2,0,0.479,0.068,7.065,0,0.346,0.612,1,0,7Networks_LH_Vis_1,Vis
1,σEGD^2,0,0.704,0.094,7.45,0,0.518,0.889,1,0,7Networks_LH_Vis_1,Vis
1,σA_mig1,0,-0.127,0.081,-1.573,0.116,-0.285,0.031,1,0,7Networks_LH_Vis_1,Vis
1,σA_gdg1,0,0.104,0.082,1.257,0.209,-0.058,0.265,1,0,7Networks_LH_Vis_1,Vis
1,σA_migd,0,-0.107,0.067,-1.58,0.114,-0.239,0.026,1,0,7Networks_LH_Vis_1,Vis
1,σE_mig1,0,0.016,0.061,0.262,0.793,-0.103,0.135,1,0,7Networks_LH_Vis_1,Vis
1,σE_gdg1,0,0.234,0.074,3.163,0.002,0.089,0.379,1,0,7Networks_LH_Vis_1,Vis
1,σE_migd,0,0.095,0.057,1.665,0.096,-0.017,0.208,1,0,7Networks_LH_Vis_1,Vis
2,mean_FCG11,0,-0.01,0.06,-0.166,0.868,-0.128,0.108,1,0,7Networks_LH_Vis_2,Vis
