Parcel,label,est,se,ci.lower,ci.upper,label_Yeo_7,label_Yeo7_short
1,σ1intra^2,0.569,0.055,0.461,0.677,7Networks_LH_Vis_1,Vis
1,σ2intra^2,0.569,0.055,0.461,0.677,7Networks_LH_Vis_1,Vis
1,σinter^2,0.429,0.049,0.332,0.526,7Networks_LH_Vis_1,Vis
2,σ1intra^2,0.474,0.049,0.377,0.57,7Networks_LH_Vis_2,Vis
2,σ2intra^2,0.474,0.049,0.377,0.57,7Networks_LH_Vis_2,Vis
2,σinter^2,0.524,0.051,0.424,0.625,7Networks_LH_Vis_2,Vis
3,σ1intra^2,0.518,0.052,0.416,0.62,7Networks_LH_Vis_3,Vis
3,σ2intra^2,0.518,0.052,0.416,0.62,7Networks_LH_Vis_3,Vis
3,σinter^2,0.48,0.05,0.381,0.579,7Networks_LH_Vis_3,Vis
4,σ1intra^2,0.589,0.056,0.478,0.699,7Networks_LH_Vis_4,Vis
4,σ2intra^2,0.589,0.056,0.478,0.699,7Networks_LH_Vis_4,Vis
4,σinter^2,0.409,0.049,0.313,0.506,7Networks_LH_Vis_4,Vis
5,σ1intra^2,0.505,0.051,0.405,0.605,7Networks_LH_Vis_5,Vis
5,σ2intra^2,0.505,0.051,0.405,0.605,7Networks_LH_Vis_5,Vis
5,σinter^2,0.493,0.051,0.393,0.592,7Networks_LH_Vis_5,Vis
6,σ1intra^2,0.466,0.049,0.37,0.562,7Networks_LH_Vis_6,Vis
6,σ2intra^2,0.466,0.049,0.37,0.562,7Networks_LH_Vis_6,Vis
6,σinter^2,0.532,0.052,0.431,0.633,7Networks_LH_Vis_6,Vis
7,σ1intra^2,0.434,0.047,0.342,0.525,7Networks_LH_Vis_7,Vis
7,σ2intra^2,0.434,0.047,0.342,0.525,7Networks_LH_Vis_7,Vis
7,σinter^2,0.564,0.052,0.462,0.667,7Networks_LH_Vis_7,Vis
8,σ1intra^2,0.514,0.052,0.413,0.615,7Networks_LH_Vis_8,Vis
8,σ2intra^2,0.514,0.052,0.413,0.615,7Networks_LH_Vis_8,Vis
8,σinter^2,0.484,0.051,0.385,0.583,7Networks_LH_Vis_8,Vis
9,σ1intra^2,0.529,0.053,0.425,0.632,7Networks_LH_Vis_9,Vis
9,σ2intra^2,0.529,0.053,0.425,0.632,7Networks_LH_Vis_9,Vis
9,σinter^2,0.469,0.05,0.371,0.568,7Networks_LH_Vis_9,Vis
10,σ1intra^2,0.552,0.054,0.446,0.658,7Networks_LH_Vis_10,Vis
10,σ2intra^2,0.552,0.054,0.446,0.658,7Networks_LH_Vis_10,Vis
10,σinter^2,0.446,0.05,0.348,0.544,7Networks_LH_Vis_10,Vis
11,σ1intra^2,0.549,0.054,0.444,0.655,7Networks_LH_Vis_11,Vis
11,σ2intra^2,0.549,0.054,0.444,0.655,7Networks_LH_Vis_11,Vis
11,σinter^2,0.449,0.05,0.351,0.547,7Networks_LH_Vis_11,Vis
12,σ1intra^2,0.442,0.047,0.349,0.534,7Networks_LH_Vis_12,Vis
12,σ2intra^2,0.442,0.047,0.349,0.534,7Networks_LH_Vis_12,Vis
12,σinter^2,0.556,0.052,0.454,0.658,7Networks_LH_Vis_12,Vis
13,σ1intra^2,0.61,0.057,0.498,0.723,7Networks_LH_Vis_13,Vis
13,σ2intra^2,0.61,0.057,0.498,0.723,7Networks_LH_Vis_13,Vis
13,σinter^2,0.388,0.049,0.292,0.483,7Networks_LH_Vis_13,Vis
14,σ1intra^2,0.451,0.048,0.357,0.545,7Networks_LH_Vis_14,Vis
14,σ2intra^2,0.451,0.048,0.357,0.545,7Networks_LH_Vis_14,Vis
14,σinter^2,0.547,0.052,0.445,0.649,7Networks_LH_Vis_14,Vis
15,σ1intra^2,0.523,0.052,0.42,0.625,7Networks_LH_Vis_15,Vis
15,σ2intra^2,0.523,0.052,0.42,0.625,7Networks_LH_Vis_15,Vis
15,σinter^2,0.475,0.05,0.376,0.574,7Networks_LH_Vis_15,Vis
16,σ1intra^2,0.557,0.054,0.45,0.663,7Networks_LH_Vis_16,Vis
16,σ2intra^2,0.557,0.054,0.45,0.663,7Networks_LH_Vis_16,Vis
16,σinter^2,0.441,0.05,0.344,0.539,7Networks_LH_Vis_16,Vis
17,σ1intra^2,0.467,0.049,0.371,0.563,7Networks_LH_Vis_17,Vis
17,σ2intra^2,0.467,0.049,0.371,0.563,7Networks_LH_Vis_17,Vis
17,σinter^2,0.531,0.051,0.43,0.632,7Networks_LH_Vis_17,Vis
18,σ1intra^2,0.454,0.048,0.36,0.549,7Networks_LH_Vis_18,Vis
18,σ2intra^2,0.454,0.048,0.36,0.549,7Networks_LH_Vis_18,Vis
18,σinter^2,0.544,0.052,0.442,0.645,7Networks_LH_Vis_18,Vis
19,σ1intra^2,0.423,0.046,0.333,0.514,7Networks_LH_Vis_19,Vis
19,σ2intra^2,0.423,0.046,0.333,0.514,7Networks_LH_Vis_19,Vis
19,σinter^2,0.575,0.052,0.472,0.678,7Networks_LH_Vis_19,Vis
20,σ1intra^2,0.497,0.051,0.398,0.597,7Networks_LH_Vis_20,Vis
20,σ2intra^2,0.497,0.051,0.398,0.597,7Networks_LH_Vis_20,Vis
20,σinter^2,0.501,0.051,0.401,0.6,7Networks_LH_Vis_20,Vis
21,σ1intra^2,0.538,0.053,0.434,0.642,7Networks_LH_Vis_21,Vis
21,σ2intra^2,0.538,0.053,0.434,0.642,7Networks_LH_Vis_21,Vis
21,σinter^2,0.46,0.05,0.362,0.558,7Networks_LH_Vis_21,Vis
22,σ1intra^2,0.545,0.054,0.44,0.65,7Networks_LH_Vis_22,Vis
22,σ2intra^2,0.545,0.054,0.44,0.65,7Networks_LH_Vis_22,Vis
22,σinter^2,0.453,0.05,0.356,0.551,7Networks_LH_Vis_22,Vis
23,σ1intra^2,0.451,0.048,0.357,0.545,7Networks_LH_Vis_23,Vis
23,σ2intra^2,0.451,0.048,0.357,0.545,7Networks_LH_Vis_23,Vis
23,σinter^2,0.547,0.052,0.445,0.648,7Networks_LH_Vis_23,Vis
24,σ1intra^2,0.498,0.051,0.398,0.597,7Networks_LH_Vis_24,Vis
24,σ2intra^2,0.498,0.051,0.398,0.597,7Networks_LH_Vis_24,Vis
24,σinter^2,0.5,0.051,0.401,0.6,7Networks_LH_Vis_24,Vis
25,σ1intra^2,0.52,0.052,0.418,0.622,7Networks_LH_Vis_25,Vis
25,σ2intra^2,0.52,0.052,0.418,0.622,7Networks_LH_Vis_25,Vis
25,σinter^2,0.478,0.05,0.379,0.577,7Networks_LH_Vis_25,Vis
26,σ1intra^2,0.496,0.051,0.397,0.595,7Networks_LH_Vis_26,Vis
26,σ2intra^2,0.496,0.051,0.397,0.595,7Networks_LH_Vis_26,Vis
26,σinter^2,0.502,0.051,0.402,0.602,7Networks_LH_Vis_26,Vis
27,σ1intra^2,0.464,0.049,0.368,0.559,7Networks_LH_Vis_27,Vis
27,σ2intra^2,0.464,0.049,0.368,0.559,7Networks_LH_Vis_27,Vis
27,σinter^2,0.534,0.052,0.433,0.635,7Networks_LH_Vis_27,Vis
28,σ1intra^2,0.457,0.048,0.363,0.552,7Networks_LH_Vis_28,Vis
28,σ2intra^2,0.457,0.048,0.363,0.552,7Networks_LH_Vis_28,Vis
28,σinter^2,0.541,0.052,0.439,0.642,7Networks_LH_Vis_28,Vis
29,σ1intra^2,0.518,0.052,0.416,0.62,7Networks_LH_Vis_29,Vis
29,σ2intra^2,0.518,0.052,0.416,0.62,7Networks_LH_Vis_29,Vis
29,σinter^2,0.48,0.05,0.381,0.579,7Networks_LH_Vis_29,Vis
