Parcel,label,est.std,se,z,pvalue,ci.lower,ci.upper,label_Yeo_7,label_Yeo7_short
1,λ,0.65453,0.03109,21.05362,0,0.59359,0.71546,7Networks_LH_Vis_1,Visual
1,σ1intra^2,0.5716,0.0407,14.04537,0,0.49183,0.65136,7Networks_LH_Vis_1,Visual
1,σ2intra^2,0.56735,0.04126,13.75047,0,0.48648,0.64822,7Networks_LH_Vis_1,Visual
1,σ_mig1,-0.0218,0.05872,-0.37127,0.71044,-0.1369,0.09329,7Networks_LH_Vis_1,Visual
1,σ_gdg1,0.24801,0.05638,4.39916,1e-5,0.13751,0.35851,7Networks_LH_Vis_1,Visual
1,σ_migd,-0.01,0.04559,-0.21936,0.82637,-0.09935,0.07935,7Networks_LH_Vis_1,Visual
2,λ,0.71824,0.02612,27.4966,0,0.66704,0.76944,7Networks_LH_Vis_2,Visual
2,σ1intra^2,0.48413,0.03752,12.90242,0,0.41059,0.55767,7Networks_LH_Vis_2,Visual
2,σ2intra^2,0.47965,0.03792,12.64788,0,0.40532,0.55398,7Networks_LH_Vis_2,Visual
2,σ_mig1,-0.08073,0.05486,-1.47161,0.14113,-0.18824,0.02679,7Networks_LH_Vis_2,Visual
2,σ_gdg1,0.57514,0.04156,13.83999,0,0.49369,0.65659,7Networks_LH_Vis_2,Visual
2,σ_migd,0.0505,0.04544,1.1112899999999999,0.26644,-0.03856,0.13956,7Networks_LH_Vis_2,Visual
3,λ,0.68669,0.02903,23.65823,0,0.6298,0.74358,7Networks_LH_Vis_3,Visual
3,σ1intra^2,0.52845,0.03986,13.25657,0,0.45032,0.60658,7Networks_LH_Vis_3,Visual
3,σ2intra^2,0.52669,0.04008,13.14205,0,0.44814,0.60524,7Networks_LH_Vis_3,Visual
3,σ_mig1,0.00769,0.05687,0.13524,0.89242,-0.10376,0.11914,7Networks_LH_Vis_3,Visual
3,σ_gdg1,-0.24796,0.05441,-4.55758,1e-5,-0.3546,-0.14133,7Networks_LH_Vis_3,Visual
3,σ_migd,-0.10595,0.04522,-2.34287,0.01914,-0.19458,-0.01732,7Networks_LH_Vis_3,Visual
4,λ,0.62977,0.03324,18.94366,0,0.56461,0.69493,7Networks_LH_Vis_4,Visual
4,σ1intra^2,0.60339,0.04187,14.41015,0,0.52132,0.68546,7Networks_LH_Vis_4,Visual
4,σ2intra^2,0.60426,0.04174,14.47515,0,0.52244,0.68608,7Networks_LH_Vis_4,Visual
4,σ_mig1,0.05053,0.06037,0.83693,0.40263,-0.0678,0.16885,7Networks_LH_Vis_4,Visual
4,σ_gdg1,-0.06663,0.06043,-1.10257,0.27021,-0.18507,0.05181,7Networks_LH_Vis_4,Visual
