Parcel,label,exo,est,se,z,pvalue,ci.lower,ci.upper,cfi,rmsea,label_Yeo_7,label_Yeo7_short,p_adjust
1,rA_mig1,0,-0.221,0.14,-1.576,0.115,-0.496,0.054,1,0,7Networks_LH_Vis_1,Vis,1
2,rA_mig1,0,-0.197,0.127,-1.545,0.122,-0.446,0.053,1,0,7Networks_LH_Vis_2,Vis,1
3,rA_mig1,0,-0.031,0.132,-0.237,0.813,-0.291,0.228,1,0,7Networks_LH_Vis_3,Vis,1
4,rA_mig1,0,0.043,0.121,0.358,0.721,-0.193,0.28,1,0,7Networks_LH_Vis_4,Vis,1
5,rA_mig1,0,-0.128,0.151,-0.851,0.395,-0.424,0.167,1,0,7Networks_LH_Vis_5,Vis,1
6,rA_mig1,0,-0.056,0.139,-0.407,0.684,-0.328,0.215,1,0,7Networks_LH_Vis_6,Vis,1
7,rA_mig1,0,-0.144,0.151,-0.955,0.34,-0.44,0.152,1,0,7Networks_LH_Vis_7,Vis,1
8,rA_mig1,0,-0.183,0.139,-1.318,0.187,-0.456,0.089,1,0,7Networks_LH_Vis_8,Vis,1
9,rA_mig1,0,-0.105,0.16,-0.657,0.511,-0.42,0.209,1,0,7Networks_LH_Vis_9,Vis,1
10,rA_mig1,0,0.148,0.157,0.941,0.347,-0.16,0.455,1,0,7Networks_LH_Vis_10,Vis,1
11,rA_mig1,0,0.08,0.156,0.512,0.609,-0.226,0.386,1,0,7Networks_LH_Vis_11,Vis,1
12,rA_mig1,0,0.107,0.141,0.765,0.444,-0.168,0.383,1,0,7Networks_LH_Vis_12,Vis,1
13,rA_mig1,0,0.074,0.16,0.464,0.643,-0.239,0.387,1,0,7Networks_LH_Vis_13,Vis,1
14,rA_mig1,0,0.173,0.137,1.268,0.205,-0.095,0.441,1,0,7Networks_LH_Vis_14,Vis,1
15,rA_mig1,0,0.014,0.12,0.121,0.904,-0.22,0.249,1,0,7Networks_LH_Vis_15,Vis,1
16,rA_mig1,0,-0.121,0.233,-0.521,0.602,-0.578,0.335,1,0,7Networks_LH_Vis_16,Vis,1
17,rA_mig1,0,-0.047,0.13,-0.359,0.72,-0.301,0.208,1,0,7Networks_LH_Vis_17,Vis,1
18,rA_mig1,0,0.065,0.124,0.521,0.602,-0.179,0.309,1,0,7Networks_LH_Vis_18,Vis,1
19,rA_mig1,0,-0.007,0.15,-0.046,0.964,-0.302,0.288,1,0,7Networks_LH_Vis_19,Vis,1
20,rA_mig1,0,-0.144,0.144,-1.001,0.317,-0.426,0.138,1,0,7Networks_LH_Vis_20,Vis,1
21,rA_mig1,0,0.033,0.124,0.266,0.79,-0.209,0.275,0.954,0.045,7Networks_LH_Vis_21,Vis,1
22,rA_mig1,0,0.011,0.149,0.075,0.94,-0.281,0.303,0.974,0.028,7Networks_LH_Vis_22,Vis,1
23,rA_mig1,0,-0.296,0.121,-2.433,0.015,-0.534,-0.057,1,0,7Networks_LH_Vis_23,Vis,1
24,rA_mig1,0,-0.053,0.148,-0.361,0.718,-0.343,0.237,0.952,0.04,7Networks_LH_Vis_24,Vis,1
25,rA_mig1,0,-0.193,0.163,-1.184,0.236,-0.513,0.126,0.917,0.047,7Networks_LH_Vis_25,Vis,1
26,rA_mig1,0,-0.129,0.143,-0.901,0.368,-0.409,0.151,1,0,7Networks_LH_Vis_26,Vis,1
27,rA_mig1,0,-0.154,0.141,-1.089,0.276,-0.431,0.123,0.989,0.017,7Networks_LH_Vis_27,Vis,1
28,rA_mig1,0,-0.117,0.119,-0.982,0.326,-0.349,0.116,1,0,7Networks_LH_Vis_28,Vis,1
29,rA_mig1,0,-0.19,0.151,-1.258,0.208,-0.486,0.106,1,0,7Networks_LH_Vis_29,Vis,1
30,rA_mig1,0,-0.242,0.141,-1.714,0.086,-0.518,0.035,1,0,7Networks_LH_Vis_30,Vis,1
31,rA_mig1,0,-0.217,0.102,-2.128,0.033,-0.417,-0.017,1,0,7Networks_LH_Vis_31,Vis,1
32,rA_mig1,0,0.044,0.166,0.267,0.79,-0.281,0.37,1,0,7Networks_LH_SomMot_1,SomMot,1
33,rA_mig1,0,-0.017,0.135,-0.128,0.898,-0.283,0.248,1,0,7Networks_LH_SomMot_2,SomMot,1
34,rA_mig1,0,-0.037,0.159,-0.232,0.817,-0.348,0.275,1,0,7Networks_LH_SomMot_3,SomMot,1
35,rA_mig1,0,0,0.183,0.001,0.999,-0.359,0.359,1,0,7Networks_LH_SomMot_4,SomMot,1
36,rA_mig1,0,0.231,0.187,1.232,0.218,-0.136,0.597,1,0,7Networks_LH_SomMot_5,SomMot,1
37,rA_mig1,0,-0.003,0.149,-0.018,0.986,-0.294,0.289,1,0,7Networks_LH_SomMot_6,SomMot,1
38,rA_mig1,0,-0.056,0.137,-0.411,0.681,-0.325,0.212,1,0,7Networks_LH_SomMot_7,SomMot,1
39,rA_mig1,0,0.221,0.242,0.912,0.362,-0.254,0.696,1,0,7Networks_LH_SomMot_8,SomMot,1
40,rA_mig1,0,0.297,0.169,1.758,0.079,-0.034,0.628,1,0,7Networks_LH_SomMot_9,SomMot,1
41,rA_mig1,0,0.584,0.287,2.033,0.042,0.021,1.147,1,0,7Networks_LH_SomMot_10,SomMot,1
42,rA_mig1,0,-0.087,0.179,-0.483,0.629,-0.438,0.265,1,0,7Networks_LH_SomMot_11,SomMot,1
43,rA_mig1,0,0.081,0.153,0.528,0.598,-0.218,0.379,1,0,7Networks_LH_SomMot_12,SomMot,1
44,rA_mig1,0,-0.071,0.217,-0.326,0.745,-0.497,0.355,1,0,7Networks_LH_SomMot_13,SomMot,1
45,rA_mig1,0,0.045,0.181,0.246,0.806,-0.311,0.4,1,0,7Networks_LH_SomMot_14,SomMot,1
46,rA_mig1,0,0.263,0.159,1.659,0.097,-0.048,0.574,1,0,7Networks_LH_SomMot_15,SomMot,1
47,rA_mig1,0,-0.103,0.164,-0.625,0.532,-0.425,0.219,1,0,7Networks_LH_SomMot_16,SomMot,1
48,rA_mig1,0,-0.056,0.183,-0.303,0.762,-0.415,0.304,1,0,7Networks_LH_SomMot_17,SomMot,1
49,rA_mig1,0,0.129,0.171,0.755,0.45,-0.206,0.465,1,0,7Networks_LH_SomMot_18,SomMot,1
50,rA_mig1,0,-0.176,0.141,-1.246,0.213,-0.452,0.101,1,0.004,7Networks_LH_SomMot_19,SomMot,1
51,rA_mig1,0,0.066,0.215,0.308,0.758,-0.355,0.488,1,0,7Networks_LH_SomMot_20,SomMot,1
52,rA_mig1,0,0.114,0.194,0.588,0.557,-0.267,0.495,1,0,7Networks_LH_SomMot_21,SomMot,1
53,rA_mig1,0,-0.013,0.174,-0.076,0.939,-0.355,0.328,1,0,7Networks_LH_SomMot_22,SomMot,1
54,rA_mig1,0,-0.131,0.145,-0.903,0.367,-0.416,0.153,1,0,7Networks_LH_SomMot_23,SomMot,1
55,rA_mig1,0,-0.144,0.154,-0.935,0.35,-0.446,0.158,0.983,0.019,7Networks_LH_SomMot_24,SomMot,1
56,rA_mig1,0,-0.005,0.157,-0.035,0.972,-0.312,0.302,1,0,7Networks_LH_SomMot_25,SomMot,1
57,rA_mig1,0,0.09,0.135,0.666,0.505,-0.175,0.354,1,0,7Networks_LH_SomMot_26,SomMot,1
58,rA_mig1,0,-0.143,0.142,-1.008,0.313,-0.42,0.135,1,0,7Networks_LH_SomMot_27,SomMot,1
59,rA_mig1,0,-0.03,0.166,-0.18,0.858,-0.355,0.296,1,0,7Networks_LH_SomMot_28,SomMot,1
60,rA_mig1,0,0.057,0.158,0.36,0.719,-0.252,0.366,1,0,7Networks_LH_SomMot_29,SomMot,1
61,rA_mig1,0,0.071,0.154,0.462,0.644,-0.231,0.373,0.995,0.011,7Networks_LH_SomMot_30,SomMot,1
62,rA_mig1,0,0.168,0.19,0.881,0.378,-0.205,0.541,1,0,7Networks_LH_SomMot_31,SomMot,1
63,rA_mig1,0,-0.016,0.237,-0.066,0.948,-0.481,0.45,1,0,7Networks_LH_SomMot_32,SomMot,1
64,rA_mig1,0,-0.063,0.196,-0.321,0.749,-0.447,0.321,1,0,7Networks_LH_SomMot_33,SomMot,1
65,rA_mig1,0,-0.072,0.183,-0.396,0.692,-0.431,0.286,1,0,7Networks_LH_SomMot_34,SomMot,1
66,rA_mig1,0,0.042,0.182,0.229,0.819,-0.316,0.399,1,0,7Networks_LH_SomMot_35,SomMot,1
67,rA_mig1,0,0.105,0.178,0.589,0.556,-0.244,0.454,1,0,7Networks_LH_SomMot_36,SomMot,1
68,rA_mig1,0,0.011,0.149,0.072,0.943,-0.282,0.303,1,0,7Networks_LH_SomMot_37,SomMot,1
69,rA_mig1,0,-0.17,0.167,-1.016,0.31,-0.497,0.158,1,0,7Networks_LH_DorsAttn_Post_1,DorsAttn,1
70,rA_mig1,0,-0.125,0.133,-0.939,0.348,-0.384,0.135,1,0,7Networks_LH_DorsAttn_Post_2,DorsAttn,1
71,rA_mig1,0,-0.361,0.142,-2.537,0.011,-0.64,-0.082,1,0,7Networks_LH_DorsAttn_Post_3,DorsAttn,1
72,rA_mig1,0,-0.117,0.119,-0.988,0.323,-0.35,0.115,1,0,7Networks_LH_DorsAttn_Post_4,DorsAttn,1
73,rA_mig1,0,-0.292,0.113,-2.595,0.009,-0.513,-0.072,1,0,7Networks_LH_DorsAttn_Post_5,DorsAttn,1
74,rA_mig1,0,0.006,0.197,0.029,0.977,-0.381,0.392,1,0,7Networks_LH_DorsAttn_Post_6,DorsAttn,1
75,rA_mig1,0,-0.168,0.124,-1.35,0.177,-0.412,0.076,1,0,7Networks_LH_DorsAttn_Post_7,DorsAttn,1
76,rA_mig1,0,0.393,0.196,2.011,0.044,0.01,0.777,1,0,7Networks_LH_DorsAttn_Post_8,DorsAttn,1
77,rA_mig1,0,-0.099,0.147,-0.673,0.501,-0.387,0.189,1,0,7Networks_LH_DorsAttn_Post_9,DorsAttn,1
78,rA_mig1,0,-0.415,0.13,-3.194,0.001,-0.67,-0.16,1,0,7Networks_LH_DorsAttn_Post_10,DorsAttn,0.561
79,rA_mig1,0,0.206,0.2,1.031,0.303,-0.186,0.599,1,0,7Networks_LH_DorsAttn_Post_11,DorsAttn,1
80,rA_mig1,0,-0.19,0.12,-1.581,0.114,-0.426,0.046,1,0,7Networks_LH_DorsAttn_Post_12,DorsAttn,1
81,rA_mig1,0,0.113,0.151,0.746,0.456,-0.184,0.409,1,0,7Networks_LH_DorsAttn_Post_13,DorsAttn,1
82,rA_mig1,0,-0.163,0.176,-0.926,0.355,-0.509,0.182,1,0,7Networks_LH_DorsAttn_Post_14,DorsAttn,1
83,rA_mig1,0,-0.106,0.197,-0.539,0.59,-0.493,0.28,1,0,7Networks_LH_DorsAttn_Post_15,DorsAttn,1
84,rA_mig1,0,-0.256,0.201,-1.275,0.202,-0.649,0.137,1,0,7Networks_LH_DorsAttn_Post_16,DorsAttn,1
85,rA_mig1,0,0.221,0.179,1.235,0.217,-0.13,0.571,1,0,7Networks_LH_DorsAttn_Post_17,DorsAttn,1
86,rA_mig1,0,-0.106,0.18,-0.591,0.555,-0.459,0.246,1,0,7Networks_LH_DorsAttn_FEF_1,DorsAttn,1
87,rA_mig1,0,-0.026,0.183,-0.141,0.888,-0.385,0.333,1,0,7Networks_LH_DorsAttn_FEF_2,DorsAttn,1
88,rA_mig1,0,-0.09,0.178,-0.506,0.613,-0.439,0.259,1,0,7Networks_LH_DorsAttn_FEF_3,DorsAttn,1
89,rA_mig1,0,-0.101,0.169,-0.594,0.553,-0.432,0.231,1,0,7Networks_LH_DorsAttn_FEF_4,DorsAttn,1
90,rA_mig1,0,-0.067,0.193,-0.349,0.727,-0.445,0.31,1,0,7Networks_LH_DorsAttn_PrCv_1,DorsAttn,1
91,rA_mig1,0,-0.356,0.132,-2.705,0.007,-0.614,-0.098,1,0,7Networks_LH_DorsAttn_PrCv_2,DorsAttn,1
92,rA_mig1,0,0.201,0.149,1.35,0.177,-0.091,0.493,1,0,7Networks_LH_SalVentAttn_ParOper_1,SalVentAttn,1
93,rA_mig1,0,-0.137,0.159,-0.861,0.39,-0.449,0.175,1,0,7Networks_LH_SalVentAttn_ParOper_2,SalVentAttn,1
94,rA_mig1,0,0.015,0.14,0.109,0.913,-0.258,0.289,1,0,7Networks_LH_SalVentAttn_ParOper_3,SalVentAttn,1
95,rA_mig1,0,-0.031,0.132,-0.234,0.815,-0.29,0.228,1,0,7Networks_LH_SalVentAttn_ParOper_4,SalVentAttn,1
96,rA_mig1,0,-0.274,0.116,-2.366,0.018,-0.501,-0.047,1,0,7Networks_LH_SalVentAttn_TempOcc_1,SalVentAttn,1
97,rA_mig1,0,0.157,0.246,0.638,0.524,-0.325,0.638,1,0,7Networks_LH_SalVentAttn_FrOperIns_1,SalVentAttn,1
98,rA_mig1,0,0.207,0.221,0.939,0.348,-0.225,0.639,1,0,7Networks_LH_SalVentAttn_FrOperIns_2,SalVentAttn,1
99,rA_mig1,0,-0.083,0.161,-0.516,0.606,-0.398,0.232,1,0,7Networks_LH_SalVentAttn_FrOperIns_3,SalVentAttn,1
100,rA_mig1,0,-0.086,0.164,-0.525,0.6,-0.409,0.236,0.942,0.034,7Networks_LH_SalVentAttn_FrOperIns_4,SalVentAttn,1
101,rA_mig1,0,-0.007,0.131,-0.054,0.957,-0.264,0.25,1,0,7Networks_LH_SalVentAttn_FrOperIns_5,SalVentAttn,1
102,rA_mig1,0,0.059,0.153,0.382,0.702,-0.242,0.359,1,0,7Networks_LH_SalVentAttn_FrOperIns_6,SalVentAttn,1
103,rA_mig1,0,-0.224,0.228,-0.982,0.326,-0.671,0.223,1,0,7Networks_LH_SalVentAttn_FrOperIns_7,SalVentAttn,1
104,rA_mig1,0,0.143,0.157,0.907,0.364,-0.165,0.451,1,0,7Networks_LH_SalVentAttn_FrOperIns_8,SalVentAttn,1
105,rA_mig1,0,0.081,0.18,0.448,0.654,-0.272,0.434,1,0,7Networks_LH_SalVentAttn_FrOperIns_9,SalVentAttn,1
106,rA_mig1,0,0.158,0.177,0.893,0.372,-0.189,0.505,1,0,7Networks_LH_SalVentAttn_PFCl_1,SalVentAttn,1
107,rA_mig1,0,0.126,0.193,0.651,0.515,-0.253,0.505,1,0,7Networks_LH_SalVentAttn_Med_1,SalVentAttn,1
108,rA_mig1,0,0.159,0.187,0.853,0.394,-0.207,0.526,1,0,7Networks_LH_SalVentAttn_Med_2,SalVentAttn,1
109,rA_mig1,0,0.153,0.279,0.548,0.584,-0.395,0.701,1,0,7Networks_LH_SalVentAttn_Med_3,SalVentAttn,1
110,rA_mig1,0,0.086,0.155,0.554,0.58,-0.218,0.39,1,0,7Networks_LH_SalVentAttn_Med_4,SalVentAttn,1
111,rA_mig1,0,-0.22,0.122,-1.804,0.071,-0.458,0.019,1,0,7Networks_LH_SalVentAttn_Med_5,SalVentAttn,1
112,rA_mig1,0,0.006,0.16,0.037,0.97,-0.308,0.32,1,0,7Networks_LH_SalVentAttn_Med_6,SalVentAttn,1
113,rA_mig1,0,-0.06,0.131,-0.458,0.647,-0.318,0.197,1,0,7Networks_LH_SalVentAttn_Med_7,SalVentAttn,1
114,rA_mig1,0,0.322,0.181,1.781,0.075,-0.033,0.677,1,0,7Networks_LH_Limbic_OFC_1,Limbic,1
115,rA_mig1,0,-0.395,0.261,-1.512,0.131,-0.907,0.117,1,0,7Networks_LH_Limbic_OFC_2,Limbic,1
116,rA_mig1,0,-0.089,0.224,-0.399,0.69,-0.529,0.35,1,0,7Networks_LH_Limbic_OFC_3,Limbic,1
117,rA_mig1,0,0.299,0.238,1.255,0.209,-0.168,0.765,1,0,7Networks_LH_Limbic_OFC_4,Limbic,1
118,rA_mig1,0,-0.288,0.236,-1.218,0.223,-0.751,0.175,0.999,0.005,7Networks_LH_Limbic_OFC_5,Limbic,1
119,rA_mig1,0,0.008,0.18,0.045,0.964,-0.345,0.361,1,0,7Networks_LH_Limbic_TempPole_1,Limbic,1
120,rA_mig1,0,0.772,1.063,0.727,0.467,-1.31,2.855,1,0,7Networks_LH_Limbic_TempPole_2,Limbic,1
121,rA_mig1,0,0.051,0.22,0.232,0.816,-0.38,0.482,1,0,7Networks_LH_Limbic_TempPole_3,Limbic,1
122,rA_mig1,0,-0.06,0.156,-0.384,0.701,-0.365,0.245,1,0,7Networks_LH_Limbic_TempPole_4,Limbic,1
123,rA_mig1,0,-0.09,0.214,-0.421,0.673,-0.51,0.33,0.951,0.036,7Networks_LH_Limbic_TempPole_5,Limbic,1
124,rA_mig1,0,-0.111,0.197,-0.564,0.573,-0.497,0.275,1,0,7Networks_LH_Limbic_TempPole_6,Limbic,1
125,rA_mig1,0,0.278,0.216,1.288,0.198,-0.145,0.701,0.953,0.031,7Networks_LH_Limbic_TempPole_7,Limbic,1
126,rA_mig1,0,-0.652,0.254,-2.566,0.01,-1.149,-0.154,1,0,7Networks_LH_Limbic_TempPole_8,Limbic,1
127,rA_mig1,0,-0.004,0.139,-0.028,0.977,-0.276,0.268,1,0,7Networks_LH_Cont_Par_1,Cont,1
128,rA_mig1,0,-0.043,0.154,-0.279,0.78,-0.345,0.259,1,0,7Networks_LH_Cont_Par_2,Cont,1
129,rA_mig1,0,-0.074,0.159,-0.466,0.641,-0.386,0.238,1,0,7Networks_LH_Cont_Par_3,Cont,1
130,rA_mig1,0,-0.078,0.13,-0.601,0.548,-0.332,0.176,1,0,7Networks_LH_Cont_Par_4,Cont,1
131,rA_mig1,0,0.06,0.135,0.444,0.657,-0.205,0.325,1,0,7Networks_LH_Cont_Par_5,Cont,1
132,rA_mig1,0,0.006,0.172,0.034,0.973,-0.331,0.342,1,0,7Networks_LH_Cont_Par_6,Cont,1
133,rA_mig1,0,0.06,0.137,0.436,0.663,-0.209,0.328,1,0,7Networks_LH_Cont_Temp_1,Cont,1
134,rA_mig1,0,0.134,0.175,0.767,0.443,-0.209,0.478,1,0,7Networks_LH_Cont_OFC_1,Cont,1
135,rA_mig1,0,-0.148,0.13,-1.139,0.255,-0.403,0.107,1,0,7Networks_LH_Cont_PFCl_1,Cont,1
136,rA_mig1,0,-0.04,0.179,-0.222,0.825,-0.39,0.311,1,0,7Networks_LH_Cont_PFCl_2,Cont,1
137,rA_mig1,0,0.178,0.18,0.99,0.322,-0.174,0.53,1,0,7Networks_LH_Cont_PFCl_3,Cont,1
138,rA_mig1,0,-0.142,0.157,-0.903,0.366,-0.449,0.166,0.986,0.022,7Networks_LH_Cont_PFCl_4,Cont,1
139,rA_mig1,0,0.285,0.138,2.065,0.039,0.014,0.555,1,0,7Networks_LH_Cont_PFCl_5,Cont,1
140,rA_mig1,0,-0.104,0.138,-0.75,0.453,-0.375,0.167,1,0,7Networks_LH_Cont_PFCl_6,Cont,1
141,rA_mig1,0,0.15,0.206,0.727,0.467,-0.254,0.553,1,0,7Networks_LH_Cont_PFCl_7,Cont,1
142,rA_mig1,0,-0.025,0.167,-0.152,0.879,-0.353,0.302,1,0,7Networks_LH_Cont_PFCl_8,Cont,1
143,rA_mig1,0,-0.253,0.231,-1.093,0.274,-0.706,0.2,1,0,7Networks_LH_Cont_PFCv_1,Cont,1
144,rA_mig1,0,0.021,0.139,0.152,0.88,-0.251,0.293,1,0,7Networks_LH_Cont_pCun_1,Cont,1
145,rA_mig1,0,0.153,0.192,0.793,0.428,-0.225,0.53,1,0,7Networks_LH_Cont_pCun_2,Cont,1
146,rA_mig1,0,0.009,0.152,0.062,0.951,-0.288,0.307,1,0,7Networks_LH_Cont_Cing_1,Cont,1
147,rA_mig1,0,0.012,0.124,0.097,0.923,-0.23,0.254,1,0,7Networks_LH_Cont_Cing_2,Cont,1
148,rA_mig1,0,0.127,0.162,0.787,0.431,-0.19,0.445,1,0,7Networks_LH_Cont_PFCmp_1,Cont,1
149,rA_mig1,0,-0.343,0.161,-2.13,0.033,-0.659,-0.027,0.986,0.021,7Networks_LH_Default_Temp_1,Default,1
150,rA_mig1,0,-0.089,0.165,-0.539,0.59,-0.413,0.235,1,0,7Networks_LH_Default_Temp_2,Default,1
